sourcenodeid,targetnodeid,relationshiptype,efficacyscore,strengthofevidence,recommendeddosagerange,contraindications,synergisticherbs
1,1,herbtreatscondition,0.9,High,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Jatamansi"
1,4,herbtreatscondition,0.85,High,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Shatavari"
1,8,herbtreatscondition,0.8,High,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Tulsi"
1,13,herbtreatscondition,0.75,Medium,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Shankhapushpi"
1,49,herbtreatscondition,0.82,High,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Jatamansi"
1,148,herbtreatscondition,0.78,Medium,300-500mg,"Pregnancy, Autoimmune conditions","Brahmi, Guduchi"
2,2,herbtreatscondition,0.9,High,500-1000mg,"Gallstones, Pregnancy","Ginger, Black pepper"
2,3,herbtreatscondition,0.75,Medium,500-1000mg,"Gallstones, Pregnancy","Amla, Coriander"
2,5,herbtreatscondition,0.8,High,500-1000mg,"Gallstones, Pregnancy","Neem, Turmeric"
2,14,herbtreatscondition,0.7,Medium,500-1000mg,"Gallstones, Pregnancy","Licorice, Brahmi"
2,24,herbtreatscondition,0.85,High,500-1000mg,"Gallstones, Pregnancy","Ginger, Pippali"
2,25,herbtreatscondition,0.78,Medium,500-1000mg,"Gallstones, Pregnancy","Amla, Haritaki"
2,76,herbtreatscondition,0.82,High,500-1000mg,"Gallstones, Pregnancy","Black pepper, Pippali"
2,77,herbtreatscondition,0.75,Medium,500-1000mg,"Gallstones, Pregnancy","Kutki, Daru haridra"
3,3,herbtreatscondition,0.85,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Bibhitaki"
3,15,herbtreatscondition,0.7,Medium,5-10g,"Diarrhea, Intestinal obstruction","Fennel, Ginger"
3,21,herbtreatscondition,0.82,High,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Bibhitaki"
3,84,herbtreatscondition,0.75,Medium,5-10g,"Diarrhea, Intestinal obstruction","Fennel, Mustak"
3,113,herbtreatscondition,0.78,Medium,5-10g,"Diarrhea, Intestinal obstruction","Haritaki, Amalaki"
4,1,herbtreatscondition,0.8,High,500-1000mg,"Pregnancy, Bradycardia","Ashwagandha, Shankhapushpi"
4,4,herbtreatscondition,0.75,High,500-1000mg,"Pregnancy, Bradycardia","Ashwagandha, Jatamansi"
4,9,herbtreatscondition,0.9,High,500-1000mg,"Pregnancy, Bradycardia","Mandukaparni, Yashtimadhu"
4,43,herbtreatscondition,0.82,High,500-1000mg,"Pregnancy, Bradycardia","Shankhapushpi, Jatamansi"
4,143,herbtreatscondition,0.75,Medium,500-1000mg,"Pregnancy, Bradycardia","Mandukaparni, Medhya herbs"
5,5,herbtreatscondition,0.85,High,1-3g,"Pregnancy, Cold constitution","Turmeric, Aloe vera"
5,12,herbtreatscondition,0.7,Medium,1-3g,"Pregnancy, Cold constitution","Gurmar, Karela"
5,27,herbtreatscondition,0.9,High,1-3g,"Pregnancy, Cold constitution","Turmeric, Aloe vera"
5,28,herbtreatscondition,0.82,High,1-3g,"Pregnancy, Cold constitution","Kutki, Daru haridra"
5,77,herbtreatscondition,0.75,Medium,1-3g,"Pregnancy, Cold constitution","Bhumyamalaki, Katuki"
5,160,herbtreatscondition,0.78,Medium,1-3g,"Pregnancy, Cold constitution","Turmeric, Manjistha"
6,3,herbtreatscondition,0.8,High,1-3g,"Bleeding disorders, Pitta excess","Black pepper, Pippali"
6,11,herbtreatscondition,0.7,Medium,1-3g,"Bleeding disorders, Pitta excess","Garlic, Arjuna"
6,15,herbtreatscondition,0.75,Medium,1-3g,"Bleeding disorders, Pitta excess","Clove, Cinnamon"
6,23,herbtreatscondition,0.82,High,1-3g,"Bleeding disorders, Pitta excess","Black pepper, Maricha"
6,25,herbtreatscondition,0.75,Medium,1-3g,"Bleeding disorders, Pitta excess","Pippali, Chitrak"
6,61,herbtreatscondition,0.78,Medium,1-3g,"Bleeding disorders, Pitta excess","Clove, Cinnamon"
7,3,herbtreatscondition,0.75,High,500mg-1g,"Diarrhea, Hyperacidity","Haritaki, Baheda"
7,8,herbtreatscondition,0.8,High,500mg-1g,"Diarrhea, Hyperacidity","Ashwagandha, Brahmi"
7,12,herbtreatscondition,0.85,High,500mg-1g,"Diarrhea, Hyperacidity","Haritaki, Baheda"
7,24,herbtreatscondition,0.75,Medium,500mg-1g,"Diarrhea, Hyperacidity","Bibhitaki, Haritaki"
7,76,herbtreatscondition,0.82,High,500mg-1g,"Diarrhea, Hyperacidity","Baheda, Haritaki"
8,4,herbtreatscondition,0.7,Medium,1-2g,"Cough, Kapha excess","Licorice, Vasa"
8,13,herbtreatscondition,0.75,Medium,1-2g,"Cough, Kapha excess","Shatavari, Ashoka"
8,62,herbtreatscondition,0.8,High,1-2g,"Cough, Kapha excess","Licorice, Kantakari"
8,66,herbtreatscondition,0.72,Medium,1-2g,"Cough, Kapha excess","Yashtimadhu, Vasa"
8,171,herbtreatscondition,0.75,Medium,1-2g,"Cough, Kapha excess","Pushkaramoola, Kantakari"
9,10,herbtreatscondition,0.85,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Trikatu"
9,2,herbtreatscondition,0.8,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Shallaki"
9,19,herbtreatscondition,0.82,High,250-500mg,"Pregnancy, Pitta excess","Guggulu, Rasna"
9,20,herbtreatscondition,0.78,Medium,250-500mg,"Pregnancy, Pitta excess","Shallaki, Guggulu"
